A,tau,alpha,offset,alpha_err,r2,delta_alpha,backend,signal,r2_exp,n_lags,analysis,n_points,mean_fluct_us,median_fluct_us,day,trend_slope
0.7408892881990419,6.302300714600767,1.0734292745696172,-0.10311117824423023,1.1527766641467718,0.6985870024976026,0.25990405876371603,ibm_brisbane,T1,0.6985870024976026,,Within_day,9.0,,,4.0,-5.794150636691583
0.800549056210733,6.026968970868482,0.6891235717229547,-0.020074659913255133,0.9248221537560528,0.7463996184324739,0.6442097616103786,ibm_brisbane,T2,0.7463996184324739,,Within_day,9.0,,,4.0,-3.5972422676621414
0.8631130547147728,8.109177038125226,1.6409380939355176,-0.11351187364979666,0.9248949876538941,0.7608162130766468,0.30760476060218434,ibm_brisbane,T1,0.755040744676046,,Within_day,9.0,,,5.0,-7.42125797670319
0.7224491308928579,6.092492991849706,0.4276500509851584,-0.1064425259183096,1.1105464233757536,0.6231996982012387,0.9056832823481749,ibm_brisbane,T1,0.6231996982012385,,Within_day,9.0,,,6.0,-5.165390750109238
0.7045945254226369,0.010000000000055773,0.10000000000836569,0.04018267513284198,0.8900301316905948,0.8360048163915883,1.2333333333249676,ibm_brisbane,T2,0.8365333166196712,,Within_day,9.0,,,6.0,-3.7917571014852833
0.8326938356168988,3.115527262623755,0.5754578194363986,0.09746821577984173,1.4681028775440585,0.844656905590588,0.7578755138969346,ibm_brisbane,T1,0.844656905590588,,Within_day,9.0,,,7.0,-5.430841173842049
0.9168799538774045,6.772546150629015,1.6554006810493336,-0.07460669342692093,0.8572885211734147,0.8340570093927505,0.3220673477160003,ibm_brisbane,T1,0.8327481583044958,,Within_day,9.0,,,8.0,-6.431409167117333
0.9077524716366429,11.045618152344755,1.3399193068680113,0.03151048478939982,1.352849103194577,0.47371818742074756,0.006585973534678047,ibm_brisbane,T2,0.4727939238563358,,Within_day,9.0,,,8.0,-2.245635108449758
0.950125446390248,8.242681217770986,2.0212563828460213,-0.15870203482948894,0.5944027774416504,0.9122567457449212,0.687923049512688,ibm_brisbane,T1,0.8790473494219123,,Within_day,9.0,,,9.0,-7.883534074518598
0.8944019364736245,8.560467196498468,1.8763725289022675,-0.1470316951910522,0.8840365880838388,0.801410763392525,0.5430391955689342,ibm_brisbane,T1,0.7799762819764126,,Within_day,9.0,,,10.0,-5.316351215730084
1.0351974755040299,6.571976631838661,2.12028073546599,-0.046317184887328104,0.4113853670827354,0.9628488499822478,0.7869474021326568,ibm_brisbane,T1,0.9482190067908429,,Within_day,9.0,,,11.0,-6.388391027794518
0.840297818367021,3.7507611168568546,0.3606152982497898,-0.10356341959210283,0.9804079945833184,0.7773083074907923,0.9727180350835435,ibm_brisbane,T1,0.7773083074907923,,Within_day,9.0,,,12.0,-4.465123092170842
