K_2,K_0,K_20
0.390872222,0.432435,0.394544444
0.399588889,0.402327778,0.403894444
0.413627778,0.421783333,0.392333333
0.417927778,0.407838889,0.393561111
0.406433333,0.43768,0.400344444
0.41445,0.414995,0.397594444
0.404688889,0.391555556,0.393866667
0.400861111,0.385825,0.406866667
0.405611111,0.38792,0.397088889
0.398927778,0.397122222,0.401233333
0.407422222,0.4078,0.40905
0.405755556,0.38204,0.396188889
0.409133333,0.398216667,0.3969
0.398516667,0.416866667,0.4099
0.3935,0.364588889,0.393794444
0.39775,0.448322222,0.3986
0.4107,0.458466667,0.4026
0.417361111,0.408461111,0.389111111
0.406966667,0.413522222,0.390116667
0.408961111,0.419338889,0.401322222
0.409755556,0.393683333,0.391372222
0.401277778,0.37465,0.393894444
0.400605556,0.414977778,0.404022222
0.416305556,0.418683333,0.395522222
0.386988889,0.417516667,0.3951
0.393522222,0.406411111,0.400805556
0.407922222,0.408588889,0.391527778
0.415855556,0.425133333,0.3956
0.398338889,0.378472222,0.4036
0.401544444,0.372866667,0.394605556
0.396061111,0.413711111,0.391144444
0.413444444,0.416494444,0.403694444
0.401988889,0.395733333,0.3937
0.4124,0.422183333,0.397016667
0.400466667,0.428072222,0.406455556
0.408183333,0.364172222,0.395461111
0.413538889,0.455566667,0.395888889
0.410872222,0.404777778,0.403372222
0.40325,0.398283333,0.393888889
0.398433333,0.4453,0.3893
0.403722222,0.401322222,0.402238889
0.408505556,0.415583333,0.396722222
0.412238889,0.435733333,0.395761111
0.392516667,0.411133333,0.409595
0.406861111,0.405944444,0.39753
0.406977778,0.422833333,0.398095
0.433005556,0.397688889,0.40654
0.396233333,0.384144444,0.39803
0.406533333,0.433438889,0.398045
0.426294444,0.410222222,0.40168
0.413538889,0.424572222,0.394245
0.398733333,0.383705556,0.39413
0.400772222,0.408977778,0.407935
0.413788889,0.410388889,0.394345
0.390388889,0.417527778,0.39655
0.385383333,0.441105556,0.408325
0.4143,0.452505556,0.39641
0.413405556,0.443627778,0.39713
0.409166667,0.4534,0.40671
0.385477778,0.410633333,0.39746
0.397566667,0.407738889,0.398395
0.420894444,0.429844444,0.403585
0.410222222,0.405672222,0.393015
0.3919,0.385472222,0.39148
0.390622222,0.436305556,0.40239
0.402944444,0.416483333,0.395045
0.404322222,0.427966667,0.39463
0.407138889,0.440366667,0.404755
0.412072222,0.392405556,0.39374
0.406261111,0.387272222,0.39618
0.402994444,0.379872222,0.40585
0.397472222,0.40605,0.397435
0.412838889,0.406966667,0.396535
0.404138889,0.437727778,0.408545
0.402183333,0.384133333,0.401375
0.407944444,0.4047,0.39673
0.410133333,0.370238889,0.40519
0.423627778,0.4607,0.395755
0.405166667,0.451188889,0.393765
0.416683333,0.438616667,0.403895
0.408772222,0.433011111,0.39505
0.40335,0.443711111,0.395725
0.397305556,0.377177778,0.40838
0.420155556,0.401094444,0.397135
0.41275,0.411177778,0.400385
0.4141,0.439638889,0.4017
0.401083333,0.352666667,0.392335
