prethermal_list_0,prethermal_list_5,prethermal_list_20
0.0417125,0.1762875,0.184275
0.382125,0.2149625,0.18294375
0.02711875,0.207575,0.18971875
0.41265625,0.2132875,0.1863
0.246825,0.18363125,0.18798125
0.36756875,0.2157125,0.18804375
0.21085625,0.17505625,0.18835625
0.0506375,0.21390625,0.18603125
0.410625,0.22845,0.184775
0.21658125,0.17800625,0.18323125
0.032325,0.211275,0.18531875
0.087925,0.179775,0.18366875
0.0243625,0.211675,0.18350625
0.031075,0.18290625,0.18544375
0.3655,0.22036875,0.18635625
0.44984375,0.1885375,0.18729375
0.4074875,0.17165,0.18695
0.0227125,0.20105625,0.18621875
0.30390625,0.2001,0.1826625
0.0368875,0.2156625,0.18525625
0.48648125,0.18703125,0.1872125
0.03976875,0.190025,0.1876125
0.261675,0.1978,0.18405625
0.315075,0.21053125,0.18581875
0.21539375,0.17974375,0.18485
0.2533875,0.16989375,0.1871625
0.070925,0.2150125,0.18705625
0.0379,0.21796875,0.18956875
0.380975,0.224525,0.187525
0.407475,0.17720625,0.1836875
0.23360625,0.1821125,0.1860375
0.21804375,0.1852,0.18656875
0.229375,0.1975875,0.1823625
0.22183125,0.17661875,0.18333125
0.0022625,0.18140625,0.1829125
-0.0258875,0.17590625,0.18929375
0.25461875,0.200125,0.1880375
0.0612125,0.2079375,0.18668125
0.4002375,0.179425,0.1845125
0.22836875,0.17928125,0.18684375
0.2240625,0.17730625,0.1858625
0.2746625,0.21358125,0.18299375
-0.01655,0.182825,0.187225
0.313575,0.20230625,0.1860875
0.02093125,0.2103375,0.1844125
-0.10410625,0.17826875,0.18429375
0.04078125,0.18756875,0.18474375
0.0650375,0.18249375,0.185075
0.03510625,0.21635,0.18614375
0.2609625,0.19683125,0.18551875
0.0864,0.1834,0.1830375
0.03196875,0.21325,0.18874375
0.23608125,0.196325,0.18505
0.0439,0.2079875,0.18286875
0.2389875,0.21235625,0.18183125
0.40838125,0.19275625,0.18379375
0.02761875,0.19263125,0.18360625
0.023375,0.18825625,0.18700625
0.258675,0.181825,0.18438125
0.4957625,0.18974375,0.18334375
0.04061875,0.2161375,0.1853125
0.06120625,0.2107875,0.18234375
-0.0362125,0.18088125,0.1845375
0.07226875,0.2287125,0.18520625
0.4938,0.1917875,0.1839
0.09109375,0.18044375,0.1823125
0.32018125,0.22154375,0.1802375
0.04894375,0.2127375,0.1822
0.339525,0.22168125,0.18509375
0.23545625,0.2030875,0.18431875
0.06185,0.21110625,0.18785625
-0.030925,0.187625,0.18469375
0.05451875,0.186625,0.18694375
0.05610625,0.21629375,0.18410625
0.41073125,0.17555,0.184025
0.36205,0.22085625,0.18495
0.43525625,0.18513125,0.1849625
0.05006875,0.18944375,0.1847125
0.0686375,0.183125,0.18476875
-0.03088125,0.17144375,0.18678125
0.29205,0.197,0.18549375
0.295975,0.19293125,0.1854875
0.2425,0.1935125,0.18601875
0.2238375,0.19348125,0.18405625
0.0468375,0.2176,0.184725
0.370875,0.2235375,0.18621875
0.3714125,0.2276,0.18374375
0.04005,0.185275,0.1860875
0.43901875,0.1815375,0.18895
-0.0653375,0.16468125,0.18561875
0.2198,0.17956875,0.18735
0.41695625,0.22281875,0.187625
0.3764875,0.220675,0.18326875
0.05825,0.21339375,0.18574375
0.340975,0.2192625,0.18239375
0.21995625,0.17918125,0.17994375
0.2590375,0.2008375,0.18651875
0.22808125,0.2050375,0.1824125
0.03799375,0.217075,0.1827875
-0.02375,0.1710875,0.18440625
0.25653125,0.197625,0.1839375
0.04339375,0.211525,0.18420625
0.3736,0.22365,0.1854
0.36931875,0.21548125,0.18736875
-0.05774375,0.1763,0.18539375
0.0506125,0.204925,0.18298125
0.36685,0.21833125,0.1851875
0.490675,0.1840625,0.18305625
0.22,0.1791875,0.1856125
0.053525,0.2140125,0.18040625
0.232525,0.18579375,0.17685625
0.06573125,0.18883125,0.1724875
0.41456875,0.182625,0.18829375
0.07545,0.2108,0.18480625
0.054875,0.206625,0.18496875
0.3596875,0.2178875,0.19008125
0.2991625,0.20146875,0.18680625
0.215275,0.1709625,0.18454375
0.25639375,0.19679375,0.18565625
0.24231875,0.1949625,0.18559375
0.20405625,0.17994375,0.18916875
-0.02714375,0.16406875,0.1861625
0.3716625,0.21434375,0.1843375
-0.1045,0.17410625,0.18538125
-0.06850625,0.1799,0.18225625
0.47669375,0.16926875,0.18674375
0.40391875,0.1827875,0.18271875
0.082725,0.20393125,0.1847625
0.37263125,0.22218125,0.18476875
0.423025,0.21401875,0.18531875
0.473875,0.169375,0.18674375
0.3053375,0.2031875,0.1868
0.02114375,0.19905625,0.190375
0.0777125,0.20476875,0.186775
0.041875,0.18074375,0.18735
0.06916875,0.18925,0.18640625
0.04069375,0.20254375,0.1857125
0.206625,0.18330625,0.18435625
0.25184375,0.171825,0.1867
0.0343125,0.2008625,0.1866125
0.437675,0.18251875,0.18785625
0.036475,0.19760625,0.188625
-0.06238125,0.1830375,0.186625
0.0338,0.2017875,0.18690625
-0.0166625,0.18563125,0.18878125
0.22988125,0.16509375,0.1887125
0.296175,0.1937875,0.1878625
0.21865,0.169525,0.18578125
0.0313,0.2089375,0.18419375
0.344625,0.20570625,0.18325
0.37796875,0.22295625,0.18608125
0.37695,0.216575,0.1832375
-0.10135,0.1727625,0.18619375
0.051375,0.2124625,0.18635625
0.34323125,0.2161625,0.18805
0.2613,0.20485625,0.1867
-0.06455,0.17775625,0.18545625
0.03665625,0.1843375,0.1862625
0.499275,0.18790625,0.1863875
0.28779375,0.2040625,0.1813375
-0.00858125,0.18031875,0.18425625
0.40618125,0.1773375,0.18644375
0.08310625,0.18021875,0.18349375
0.04661875,0.2124625,0.18334375
0.29990625,0.2131875,0.184125
0.2157625,0.18215,0.18654375
0.41045625,0.18438125,0.18336875
0.0521125,0.2135875,0.188075
0.4281625,0.19310625,0.18391875
0.2365625,0.20168125,0.18903125
0.39899375,0.185625,0.1892875
0.31955625,0.22153125,0.1871875
0.20850625,0.18011875,0.18873125
0.2248625,0.1690625,0.18415
0.05013125,0.21060625,0.1878125
0.2582,0.209375,0.18929375
0.05816875,0.2071625,0.18821875
0.05144375,0.2109125,0.18250625
