nn_mbl_1,nn_mbl_2,nn_mbl_3,nn_mbl_4,nn_mbl_5,nn_mbl_6,nn_mbl_7,nn_mbl_8,nn_mbl_9,nn_mbl_10,nn_mbl_11,nn_mbl_12,nn_mbl_13,nn_mbl_14,nn_mbl_15,nn_mbl_16,nn_mbl_17,nn_mbl_18,nn_mbl_19,nn_mbl_20,n_mbl_1,n_mbl_2,n_mbl_3,n_mbl_4,n_mbl_5,n_mbl_6,n_mbl_7,n_mbl_8,n_mbl_9,n_mbl_10,n_mbl_11,n_mbl_12,n_mbl_13,n_mbl_14,n_mbl_15,n_mbl_16,n_mbl_17,n_mbl_18,n_mbl_19,n_mbl_20,nn_thermal_1,nn_thermal_2,nn_thermal_3,nn_thermal_4,nn_thermal_5,nn_thermal_6,nn_thermal_7,nn_thermal_8,nn_thermal_9,nn_thermal_10,nn_thermal_11,nn_thermal_12,nn_thermal_13,nn_thermal_14,nn_thermal_15,nn_thermal_16,nn_thermal_17,nn_thermal_18,nn_thermal_19,nn_thermal_20,n_thermal_1,n_thermal_2,n_thermal_3,n_thermal_4,n_thermal_5,n_thermal_6,n_thermal_7,n_thermal_8,n_thermal_9,n_thermal_10,n_thermal_11,n_thermal_12,n_thermal_13,n_thermal_14,n_thermal_15,n_thermal_16,n_thermal_17,n_thermal_18,n_thermal_19,n_thermal_20
0.876672179,0.8390979,0.81104134,0.844921451,0.793080262,0.807023081,0.819950477,0.814703229,0.764417101,0.826987848,0.832719449,0.766781305,0.819229608,0.825264335,0.804760768,0.802147633,0.838777373,0.810858428,0.837853305,0.881538681,0.873083705,0.75210991,0.743925286,0.792622835,0.749989053,0.749591053,0.766577379,0.730366453,0.742744431,0.801831625,0.80663951,0.750727476,0.770610348,0.773540865,0.76115813,0.755914887,0.781148115,0.775209418,0.772020974,0.877000388,0.654685258,0.600767365,0.548960485,0.521955719,0.494240408,0.462872029,0.445564331,0.424727555,0.409048053,0.411808824,0.410086559,0.412549626,0.424459724,0.443898171,0.458506144,0.485081183,0.516708941,0.549247467,0.596165298,0.661538964,0.097560203,0.021892209,0.021312976,0.020017156,0.022193169,0.022485003,0.017952531,0.015131574,0.010641083,0.015020637,0.024949101,0.012781958,0.016967547,0.014858928,0.01520789,0.009149101,0.019006412,0.02556782,0.039097667,0.101969009
0.867240209,0.823465458,0.796117723,0.828656983,0.776014329,0.793038605,0.802725744,0.80038144,0.746222242,0.815070378,0.818422348,0.746426683,0.803572457,0.809207541,0.785611356,0.792818209,0.820283068,0.796257077,0.823144293,0.869837552,-0.863822605,-0.726424796,-0.713080475,-0.772471502,-0.744042118,-0.73077034,-0.749848765,-0.701433054,-0.72183674,-0.782956314,-0.788023789,-0.735064789,-0.750033792,-0.753450284,-0.745904931,-0.728223165,-0.760552939,-0.750086378,-0.759662274,-0.866261548,0.616240299,0.562220938,0.508812057,0.476504929,0.440054262,0.41367218,0.393174014,0.377927886,0.364100406,0.363599615,0.361018285,0.366079367,0.372604059,0.391310102,0.406692938,0.425015717,0.467141319,0.502087257,0.554207967,0.61559108,-0.049393662,-0.018393181,-0.010292826,-0.00884985,-0.014364079,-0.010203178,-0.012341369,-0.015616887,-0.004046923,-0.01061688,-0.01017666,-0.005440221,-0.0109609,-0.007240182,-0.010833442,-0.009150032,-0.009504474,-0.015199819,-0.026239983,-0.061231463
0.852764008,0.806981529,0.768706609,0.814656996,0.766727518,0.770528967,0.781631929,0.776769635,0.726005919,0.789195066,0.796422035,0.722211467,0.786378887,0.791787516,0.764422303,0.764568877,0.806744643,0.775463905,0.810824352,0.860713226,0.848607162,0.721823337,0.700030744,0.757222085,0.713868037,0.706552184,0.724072112,0.671718872,0.697240601,0.764028583,0.765825841,0.709761273,0.733935613,0.737228482,0.717036077,0.707308017,0.745179418,0.730497501,0.740793172,0.857675957,0.566985157,0.504376765,0.448452255,0.421403803,0.388077862,0.356037808,0.336632471,0.320180718,0.305873783,0.304696839,0.303454205,0.307496712,0.319856015,0.337648848,0.352608563,0.377966035,0.41557314,0.450835437,0.500147485,0.571115966,0.054117358,0.014256955,0.01427862,0.009256464,0.014799498,0.01548214,0.009370991,0.00954803,0.003877552,0.013617539,0.012724677,0.007214373,0.011272539,0.017707878,0.0037225,0.011315651,0.012341867,0.037554133,0.038127621,0.060782393
0.845524352,0.794047677,0.761281775,0.795310836,0.752828841,0.759015133,0.769524396,0.75855726,0.706277129,0.783533635,0.78580374,0.702868375,0.772649414,0.776501743,0.746761031,0.746925454,0.784405413,0.762011399,0.79483033,0.848306547,-0.840336728,-0.702204586,-0.669763333,-0.737564481,-0.715545489,-0.693198319,-0.703816332,-0.645713891,-0.675704108,-0.748260061,-0.747897287,-0.693153465,-0.714814314,-0.717190732,-0.703297772,-0.686050192,-0.726625265,-0.710939438,-0.729758262,-0.846792402,0.528472448,0.469722034,0.414013994,0.377415939,0.345059734,0.314032672,0.29646601,0.280848333,0.266132872,0.260678589,0.260923158,0.268134962,0.276797327,0.292464861,0.309688854,0.326667281,0.369821047,0.407066118,0.455471795,0.524436473,-0.031837967,-0.018698654,-0.014364005,-0.014342566,-0.011898413,-0.002999163,-0.007084508,-0.00177403,-0.001152159,-0.004469328,-0.002463246,-0.006098296,-0.006410832,-0.003551891,-0.004305068,-0.005088823,-0.001189347,0.002511096,-0.009020733,-0.022267766
0.832140703,0.77971726,0.72894703,0.782532698,0.730817217,0.744420403,0.749260068,0.740127788,0.697371176,0.765479549,0.770155627,0.683465177,0.754173973,0.759551315,0.728185168,0.729803131,0.775228646,0.73704785,0.779846767,0.838073609,0.831972653,0.699661189,0.656281933,0.723324073,0.686518605,0.67414888,0.684606286,0.618165084,0.658165179,0.731467424,0.733680536,0.670524768,0.695258496,0.702329961,0.676776164,0.66806594,0.707973663,0.691672397,0.708497049,0.838336364,0.48237925,0.415113621,0.364947116,0.335024147,0.305187984,0.276592221,0.257328819,0.238491302,0.224404638,0.225415633,0.220180423,0.226163026,0.235710013,0.252630409,0.27273161,0.297790048,0.328972418,0.362736154,0.410289147,0.484532095,0.067158136,0.033139911,0.017802051,0.012332471,0.01662937,0.007436984,0.009827659,0.004517619,0.004588888,0.005661002,0.005355325,0.006302734,0.004825343,0.011521584,0.007906161,0.006205262,0.01036613,0.011783615,0.021742838,0.045929936
0.823598227,0.763565142,0.727020838,0.764019746,0.714927761,0.72927455,0.736173787,0.72129012,0.672957535,0.754207545,0.753465249,0.666517579,0.737521439,0.743629708,0.707540395,0.71044408,0.749582504,0.728841073,0.770319311,0.827563013,-0.824664575,-0.678937138,-0.633547761,-0.707754962,-0.68051853,-0.656313529,-0.668819859,-0.596541223,-0.639111524,-0.721385955,-0.715168268,-0.650886935,-0.679380206,-0.685122168,-0.664471878,-0.646993039,-0.693885707,-0.668334706,-0.698746659,-0.827659736,0.447853663,0.386862564,0.333565279,0.305376944,0.270173594,0.243061047,0.224154735,0.206867882,0.19681225,0.197376954,0.192866782,0.198157188,0.207951722,0.226253756,0.239125783,0.258615415,0.295406075,0.330535571,0.376210075,0.444115872,-0.041048127,-0.021477403,-0.008172955,-0.004341121,-0.010374725,-0.001721601,-0.00419377,-0.004402374,-0.001907426,-0.002625278,-0.004268236,-0.004488154,-0.001044838,-0.001052444,-0.001834088,-0.002204815,-0.00132895,-0.013727036,-0.020171356,-0.029174881
0.811190881,0.749538814,0.683301979,0.751864216,0.710404945,0.709107796,0.716812577,0.701846479,0.660334733,0.72617698,0.73716762,0.646788336,0.72108139,0.728246762,0.688670045,0.692301179,0.745349678,0.696811574,0.752758859,0.818153364,0.810927454,0.679163243,0.620843322,0.693198115,0.656238373,0.638786276,0.652675532,0.573774932,0.623094892,0.704170225,0.706061059,0.632352058,0.661875278,0.672179191,0.636177495,0.630932668,0.679868415,0.652638546,0.682034005,0.819631142,0.403064247,0.338726491,0.286853567,0.264777477,0.233773422,0.210296591,0.190497974,0.173340757,0.169624982,0.160100149,0.158927511,0.163974316,0.172298959,0.194656668,0.207043858,0.224642805,0.258510312,0.289116639,0.331255115,0.401698298,0.039816072,0.027696499,0.013953379,0.007952606,0.012661144,0.006622779,0.003534748,0.004416046,0.003210782,0.004868056,0.004367579,0.00775649,0.005124328,0.006909666,0.005351084,0.009108787,0.004861245,0.015967422,0.021486293,0.053440639
0.800765383,0.735703545,0.694622457,0.733365932,0.696174106,0.704940932,0.701432282,0.681293386,0.635641781,0.72538531,0.72672067,0.631582021,0.706398975,0.713273515,0.678088375,0.675107221,0.719146105,0.694325866,0.741584282,0.806954755,-0.800676574,-0.662551205,-0.599730857,-0.67553913,-0.660297044,-0.623542193,-0.639344506,-0.555905299,-0.603900914,-0.692165063,-0.682433951,-0.617377796,-0.649690529,-0.660504205,-0.622382126,-0.605312507,-0.664446559,-0.628626958,-0.670626115,-0.805735973,0.37675654,0.317118958,0.264252055,0.239659998,0.207291432,0.184207294,0.164478222,0.151671805,0.141102525,0.13627056,0.144095095,0.145672064,0.154447378,0.160542831,0.180122697,0.196040802,0.230948509,0.262639493,0.304852778,0.372880391,-0.019845512,-0.004099251,-0.002715964,-0.002412655,-0.006234626,-0.002474001,-0.003055686,-0.003883957,-0.001893641,-0.002547408,-0.001327604,-0.002487462,-0.000689395,-0.00272174,-0.003829034,-0.000892679,0.001136291,-0.00274332,0.001075965,-0.024786617
0.790027921,0.724926372,0.64251497,0.722997283,0.681968956,0.681301297,0.68863552,0.667033811,0.630799714,0.707923694,0.709922676,0.617295533,0.690488619,0.697247633,0.663697425,0.666242018,0.71766522,0.654745183,0.726861365,0.796643137,0.787311194,0.654826741,0.583657464,0.66546052,0.640031599,0.609250293,0.620849162,0.532563949,0.59008076,0.676676404,0.668822074,0.595384932,0.634408884,0.648409981,0.602453896,0.592475541,0.654200197,0.614025064,0.654779479,0.793792623,0.332334001,0.27313262,0.221816627,0.201110971,0.181470046,0.154107898,0.132245219,0.12929972,0.11620304,0.116163854,0.117884239,0.126569405,0.122320139,0.136339118,0.154452807,0.178090893,0.19851201,0.232253294,0.265367912,0.334182099,0.034009452,0.015282533,0.013422222,0.005477438,0.008439306,0.004599391,0.003226135,0.002679553,0.002263217,0.004709159,0.002872079,0.00363048,0.003300468,0.005816409,0.004115895,0.004636438,0.007936161,0.012000791,0.012851956,0.037783325
0.781781219,0.705445584,0.662041354,0.704873831,0.665823196,0.667972235,0.66832305,0.648082027,0.615000668,0.700807408,0.698724809,0.604563374,0.674903205,0.681733131,0.645705179,0.634485635,0.694425831,0.664976247,0.712114581,0.7855249,-0.782782733,-0.641458704,-0.563713709,-0.653083777,-0.640809267,-0.595427186,-0.60884144,-0.511795484,-0.574417601,-0.668247341,-0.651396232,-0.582343481,-0.618814564,-0.635500566,-0.591512608,-0.579378205,-0.645603158,-0.59701864,-0.649038404,-0.785338982,0.307963268,0.251237052,0.204046821,0.179409627,0.152011564,0.127679171,0.119845887,0.110095034,0.104598966,0.094520441,0.098687824,0.108958815,0.09952589,0.114715089,0.131006363,0.150584256,0.173672049,0.203680675,0.243824486,0.306264242,-0.018775083,-0.009062517,-0.002388107,-0.001678242,-0.003353189,-0.001371049,-0.002237842,-0.003702235,0.000909748,-0.00180118,-0.001642462,-0.002842533,-0.00225291,0.000389997,-0.001905338,-0.00186761,-0.003640304,-0.004638206,-0.012573842,-0.032052891
