prethermal_autocorrelators,mbl_autocorrelators,energies_mbl,energies_prethermal
0.15502658,0.398825934,-0.626686365,1.1
0.12815067,0.375357486,0.476906295,0.3
0.12311974,0.383971667,-0.524462484,0.5
0.175582649,0.395610286,-0.059406787,-0.3
0.139143404,0.401786199,-0.490255276,0.7
0.133995193,0.386131211,-0.209536796,-0.5
0.138231245,0.401429718,0.36941153,0.1
0.119193402,0.386753724,-1.261223366,-0.1
0.142782503,0.395152704,0.544486102,0.3
0.143855715,0.412291608,-0.606666115,-0.5
0.171851728,0.382988701,0.17142112,-0.3
0.132422635,0.365047704,1.690421007,-0.3
0.160390441,0.415503238,-0.647797772,-0.1
0.146367919,0.385596769,-0.467930713,1.3
0.16826519,0.376741866,0.972650729,-0.7
0.136620953,0.410632939,-0.134318224,-0.3
0.141043061,0.425126685,-0.609554258,0.3
0.140237201,0.388798693,0.372690811,-0.1
0.120282977,0.374905679,0.046459084,0.5
0.124963713,0.377947747,-1.108555931,0.9
0.129990713,0.371220202,-0.156741072,-0.5
0.117940334,0.37024304,0.779537655,0.1
0.142170548,0.378894321,-0.116270433,0.1
0.132176802,0.421147834,-1.118500106,0.5
0.129203106,0.382089859,-0.396012851,-0.3
0.136238495,0.414686978,-0.538952547,-0.3
0.218509113,0.395230025,0.614985677,-0.9
0.171779545,0.36849745,0.782324098,-0.9
0.136743703,0.402331342,-0.569356248,0.1
0.116337665,0.379539777,-1.559163213,-0.1
0.148414743,0.399438619,-0.32218157,-0.1
0.149477432,0.390156364,0.135498296,-0.5
0.147296657,0.380061674,0.563594617,-0.5
0.156093369,0.396454003,-0.203503502,-0.3
0.130324282,0.367234045,0.094529787,-0.3
0.134653925,0.400557061,-0.774929733,0.3
0.132946975,0.373732743,0.044224793,0.5
0.151235991,0.38560106,1.329271477,-0.1
0.176521705,0.400755417,0.779985013,-0.9
0.158945536,0.379987487,0.514284731,-0.1
0.132054429,0.379907535,0.020470699,-0.1
0.166393301,0.378007476,0.468310175,-0.9
0.126051374,0.396479511,-0.217122584,0.5
0.154375789,0.375897486,0.628028299,-0.9
0.129332464,0.392054033,-0.819704401,-0.3
0.151141265,0.398642227,-0.495155973,0.5
0.142921417,0.379210185,0.354282635,0.9
0.167271421,0.384780467,0.390893968,0.5
0.140977558,0.407296179,-0.703290266,-0.3
0.148764458,0.412861693,-1.191476785,-0.1
0.141812262,0.403108505,-0.905855293,-0.3
0.131829108,0.372711084,-0.077515876,0.9
0.128064061,0.394300772,0.088066155,0.1
0.128901612,0.349660238,0.105784906,0.1
0.121006012,0.357916409,-0.234303142,-0.1
0.131028885,0.39858898,-0.344336191,0.3
0.141065796,0.39130591,-0.706874202,0.5
0.126754663,0.372039463,1.35211416,-0.5
0.154497501,0.384516789,0.242630959,-0.7
0.13328906,0.369466317,0.126168991,-0.3
0.148141289,0.39106526,0.100427633,-0.1
0.159157232,0.413462763,-0.04994641,-0.7
0.12913488,0.407781642,-0.530385735,0.1
0.132266857,0.413294426,0.607456996,0.5
0.148202992,0.395231371,-0.079974408,-0.3
0.144398706,0.369277478,-0.102712449,-0.3
0.127068514,0.372532099,0.712628764,-0.1
