e0_60,e1_60,e2_60,e3_60,e4_60,e0_97,e1_97,e2_97,e3_97,e4_97
,,,,,0.515245174,-0.515875925,0.343579012,0.438199142,-0.297931435
,,,,,-0.5095001,0.508621015,-0.337445646,-0.422729613,0.309880988
,,,,,0.496819531,-0.504527173,0.330649213,0.414812548,-0.284851518
,,,,,-0.488900644,0.506081796,-0.334627613,-0.415385493,0.267519283
,,,,,0.487761981,-0.501314284,0.305949982,0.403874497,-0.270748892
,,,,,-0.49221312,0.49773865,-0.315951237,-0.411843648,0.260037355
,,,,,0.491850818,-0.486908105,0.299816616,0.392988533,-0.250079394
,,,,,-0.47973958,0.494007553,-0.29268865,-0.393248962,0.251586545
,,,,,0.481965149,-0.48063779,0.281195495,0.386790304,-0.26046797
,,,,,-0.474356808,0.470377275,-0.288047184,-0.381737966,0.243351042
,,,,,0.475340199,-0.460686788,0.278874762,0.365539234,-0.242435986
,,,,,-0.465247501,0.461101354,-0.261082475,-0.35684088,0.230809393
,,,,,0.461417451,-0.438973878,0.253291443,0.344704852,-0.218644533
,,,,,-0.446977129,0.445451476,-0.261358753,-0.346163259,0.20938632
,,,,,0.433882501,-0.436641943,0.251246987,0.33829828,-0.203734504
,,,,,-0.425704827,0.431304402,-0.243842743,-0.33751699,0.20448808
,,,,,0.424824951,-0.42524137,0.251633776,0.330902074,-0.203895985
,,,,,-0.402258714,0.424982266,-0.248539465,-0.337152389,0.196952325
,,,,,0.402828045,-0.412752561,0.243676977,0.307671738,-0.200558722
,,,,,-0.392373045,0.409384209,-0.245334643,-0.305119526,0.188501515
,,,,,0.375810669,-0.414980854,0.221851034,0.304286151,-0.189954839
,,,,,-0.378191511,0.397879995,-0.219972346,-0.30287983,0.18435685
,,,,,0.367011907,-0.381038239,0.221187968,0.296264914,-0.178812688
,,,,,-0.368719902,0.387360375,-0.225221623,-0.282618393,0.172084335
,,,,,0.360490471,-0.383111071,0.205826925,0.269128131,-0.178059112
,,,,,-0.351329407,0.377358964,-0.212954891,-0.269492733,0.169608302
,,,,,0.345480817,-0.387515838,0.195438881,0.259388057,-0.175744559
,,,,,-0.357592055,0.373316942,-0.206932036,-0.265377942,0.161588106
,,,,,0.338855867,-0.348339324,0.186542738,0.245637365,-0.153298776
,,,,,-0.345325545,0.342535395,-0.203229914,-0.249231296,0.151845452
,,,,,0.330781708,-0.335125023,0.18825566,0.249752156,-0.157604922
,,,,,-0.340719134,0.342639037,-0.191460482,-0.249543812,0.148562016
,,,,,0.330574679,-0.348442965,0.177315061,0.24042877,-0.137204558
,,,,,-0.340460347,0.341291697,-0.192399826,-0.235636862,0.150930396
,,,,,0.32472609,-0.340099819,0.179525283,0.222927889,-0.140810955
,,,,,-0.330419406,0.314189426,-0.183337916,-0.212510698,0.134836178
,,,,,0.312097278,-0.317195031,0.163556429,0.22407378,-0.134620871
,,,,,-0.317065991,0.317195031,-0.181017183,-0.205166578,0.128753747
,,,,,0.308733045,-0.313101189,0.172507828,0.199697553,-0.126062407
,,,,,-0.303971362,0.3006642,-0.167921617,-0.229178203,0.11298249
,,,,,0.306714505,-0.306882695,0.170352862,0.207406274,-0.117934557
,,,,,-0.298899134,0.311028358,-0.17123695,-0.209073025,0.111098551
,,,,,0.297812228,-0.28677623,0.14863743,0.212666955,-0.117342462
,,,,,-0.28973807,0.278951291,-0.163998473,-0.204593632,0.103401316
,,,,,0.284355298,-0.280609556,0.149079475,0.200530928,-0.098126288
,,,,,-0.284251783,0.294134781,-0.150018819,-0.199280865,0.101732685
,,,,,0.273434481,-0.275064732,0.125982655,0.185998946,-0.10824573
,,,,,-0.264946263,0.278795829,-0.133276387,-0.181154952,0.094250757
,,,,,0.271881758,-0.27361375,0.130568865,0.167143831,-0.097372713
,,,,,-0.260857426,0.281335047,-0.138138876,-0.17693599,0.092635953
,,,,,0.252213936,-0.248998877,0.136204931,0.172091996,-0.086284388
,,,,,-0.261685545,0.277396667,-0.130679376,-0.163706157,0.083270087
,,,,,0.255940471,-0.260917658,0.124601266,0.146517792,-0.086122908
,,,,,-0.244760867,0.253507285,-0.140128076,-0.167508432,0.076649388
