thermal_list_0,thermal_list_5,thermal_list_20
-0.076466667,0.017475,0.005958333
-0.0388625,0.00140625,0.0061625
-0.000708333,0.021791667,0.006464583
0.056154167,0.023970833,0.005047917
-0.068302083,0.03585,0.006297917
0.009697917,0.015989583,0.005808333
0.094383333,0.018458333,0.006245833
0.05304375,0.025722917,0.00778125
0.0607875,0.023270833,0.005316667
-0.13725,0.019366667,0.0072375
-0.093141667,-0.002341667,0.006477083
0.003927083,0.027729167,0.007372917
-0.035575,0.023395833,0.006079167
-0.017954167,0.0285375,0.005820833
-0.105308333,0.00876875,0.007591667
0.050529167,0.022085417,0.006766667
0.12059375,0.001510417,0.008152083
0.13418125,0.02533125,0.00618125
0.01090625,0.018054167,0.0059875
-0.0856375,-0.0079875,0.005502083
0.1000125,0.012066667,0.006277083
-0.009247917,0.006310417,0.00599375
-0.03635625,0.02365,0.005110417
0.07695,0.013539583,0.0051125
-0.014845833,-0.004566667,0.005316667
0.0015875,0.009610417,0.005883333
-0.001558333,0.01859375,0.005960417
-0.020797917,0.011222917,0.006329167
0.138872917,-0.011802083,0.0038875
-0.0874,0.000845833,0.00589375
0.002441667,0.017058333,0.0043
-0.038810417,-0.00753125,0.00590625
-0.155322917,0.001252083,0.007179167
-0.056916667,0.007339583,0.007054167
0.006977083,0.015533333,0.004802083
-0.025916667,0.019966667,0.005364583
-0.070520833,-0.008527083,0.00584375
0.08461875,0.01674375,0.006047917
0.076502083,0.009916667,0.0063
0.121279167,0.009110417,0.007822917
0.06081875,0.021789583,0.0057375
0.069560417,0.009275,0.006679167
0.160291667,0.006204167,0.007454167
-0.128352083,0.017108333,0.0065
0.04818125,0.025379167,0.007635417
0.0857125,0.021404167,0.006495833
-0.050729167,0.03000625,0.007583333
0.057795833,0.022277083,0.003389583
-0.08015,-0.012420833,0.005445833
-0.087522917,-0.0074375,0.0077
-0.016370833,0.011179167,0.005620833
0.051839583,0.008595833,0.0041875
0.058895833,0.032879167,0.007335417
0.077770833,0.006041667,0.005227083
0.13470625,-0.0012125,0.007066667
-0.159177083,6.88E-05,0.008614583
0.09168125,0.017341667,0.00611875
0.140222917,0.01321875,0.008054167
0.16264375,0.02065625,0.007577083
-0.165804167,0.006314583,0.005660417
-0.022566667,0.013014583,0.007264583
0.047258333,0.0055625,0.00505625
-0.066241667,0.008941667,0.004864583
0.120014583,0.004177083,0.004808333
0.0307375,-0.01123125,0.00715625
0.0543375,-0.01070625,0.0056375
-0.03018125,0.01150625,0.006089583
0.182139583,0.02801875,0.006302083
0.100495833,0.036516667,0.006608333
-0.029760417,-0.002372917,0.004704167
0.031847917,-0.006104167,0.0030375
0.07978125,-0.01726875,0.006891667
-0.00975625,0.004725,0.007716667
-0.07579375,-0.007760417,0.006347917
-0.00033125,0.018316667,0.005966667
0.074425,0.003283333,0.006189583
0.07073125,-0.017335417,0.008129167
0.000166667,0.010645833,0.005316667
0.104635417,0.01766875,0.008489583
0.012354167,0.026933333,0.007797917
0.060464583,0.012754167,0.006514583
-0.135710417,0.00565,0.004779167
-0.056691667,0.015572917,0.006202083
0.09058125,0.016039583,0.00656875
0.085308333,0.026854167,0.00605
-0.018472917,0.014397917,0.005414583
0.082572917,0.020245833,0.004645833
0.0706625,0.008445833,0.006510417
-0.00485625,0.020429167,0.006741667
0.062422917,0.000345833,0.006175
0.029520833,0.04495,0.0068125
-0.04390625,0.010472917,0.007545833
-0.040425,0.018572917,0.006179167
-0.007410417,0.020595833,0.007358333
0.10741875,0.02629375,0.005347917
0.0948,0.040864583,0.00664375
-0.108772917,0.01935,0.006995833
-0.043041667,0.023408333,0.00616875
0.037270833,0.021627083,0.005625
0.0005625,0.031929167,0.006989583
-0.034647917,0.002547917,0.004972917
0.048375,0.010702083,0.007545833
0.1293375,0.004891667,0.00708125
-0.002352083,0.008685417,0.006025
0.079758333,0.012916667,0.006310417
-0.009054167,0.009058333,0.006245833
-0.077714583,0.023908333,0.006591667
-0.017710417,0.017608333,0.005029167
0.06385,0.022685417,0.007204167
0.085116667,0.008547917,0.006547917
0.120516667,-0.010302083,0.005508333
0.0732875,0.006860417,0.006029167
0.0339625,0.021204167,0.005789583
-0.093091667,0.01796875,0.007214583
-0.132064583,0.005008333,0.006697917
0.18573125,0.022345833,0.007679167
-0.004108333,0.020733333,0.00723125
0.08295,0.02181875,0.005833333
0.113270833,-0.0078625,0.00769375
0.05174375,0.017627083,0.004195833
-0.00174375,0.030391667,0.00538125
-0.038308333,0.014883333,0.0064625
-0.038229167,-0.004033333,0.005779167
0.037883333,0.008108333,0.005029167
0.03416875,-0.0057125,0.00646875
0.095960417,-0.009364583,0.00733125
-0.005004167,0.022464583,0.004608333
-0.109954167,0.019070833,0.007545833
0.025929167,0.009629167,0.0066125
0.047010417,0.001314583,0.007522917
-0.02175,0.001072917,0.00545625
0.168904167,0.020495833,0.005935417
-0.015564583,-0.01380625,0.008285417
-0.0074,0.019797917,0.007089583
0.05225625,0.0118875,0.005358333
-0.056308333,0.0386625,0.00530625
0.098,0.013266667,0.005408333
0.0181625,-0.002152083,0.003714583
0.127491667,0.009316667,0.00545
0.0894375,-0.00066875,0.007685417
0.18081875,0.01704375,0.00775625
-0.070029167,0.020222917,0.005870833
0.01725625,0.04785625,0.007254167
0.059510417,0.020722917,0.005808333
0.133327083,0.034872917,0.00444375
-0.101922917,0.00933125,0.002233333
0.016347917,0.022664583,0.00331875
0.068260417,0.024116667,0.007222917
-0.098402083,0.002129167,0.006641667
-0.053664583,0.022652083,0.009060417
-0.05488125,-0.013435417,0.006289583
0.10244375,0.01235625,0.00739375
-0.015989583,-0.018052083,0.006814583
0.029066667,-0.002220833,0.006966667
-0.04133125,-0.002377083,0.007114583
-0.151022917,0.01774375,0.0047375
0.007685417,0.018408333,0.00663125
0.034229167,-0.001627083,0.004645833
-0.079560417,0.00016875,0.00609375
0.005458333,0.020658333,0.004322917
-0.060125,0.0197625,0.006010417
